大数据电商运营助理,福州咸鱼科技有限公司,福州,0.8-1万/月,12-04
大数据研发工程师,福建元鼎磐基科技有限公司,福州-台江区,0.8-1.5万/月,12-04
大数据研发工程师,浙江星嘉合科技有限公司福建分公司...,福州-台江区,0.8-1.5万/月,12-04
大数据架构师,中电（福建）健康医疗大数据运营服...,福州-长乐市,1.5-2.5万/月,12-04
大数据运维工程师-福州,中电福富信息科技有限公司,福州,0.8-1万/月,12-04
高级大数据开发工程师,福建天创信息科技有限公司,福州-闽侯县,30-50万/年,12-04
大数据开发工程师,福州星海湾软件有限公司,福州-晋安区,0.9-1.5万/月,12-04
大数据工程师,福建大道之行教育科技有限公司,福州-鼓楼区,1-1.5万/月,12-04
大数据仓库开发工程师,长威信息科技发展股份有限公司,福州,1.2-2万/月,12-04
大数据（爬虫、数据预处理）入职即5险1金包住,福建中海创科技有限责任公司,福州-仓山区,6-8千/月,12-04
大数据系统工程师,福建顶点软件股份有限公司,福州,0.6-1万/月,12-04
大数据开发工程师,北京先进数通信息技术股份公司,福州,1-1.5万/月,12-04
大数据产品经理（集团研究院）,新大陆科技集团有限公司,福州-马尾区,1.5-2万/月,12-04
解决方案行销工程师（大数据）,杭州海康威视数字技术股份有限公司...,福州-鼓楼区,0.8-1万/月,12-04
高级Java开发工程师(大数据平台),福建三元达控股有限公司,福州-鼓楼区,1.2-2万/月,12-04
大数据开发工程师,福建省汽车工业集团云度新能源汽车...,异地招聘,1.2-1.8万/月,12-04
大数据产品经理,弘扬软件股份有限公司,福州-仓山区,1-2万/月,12-04
大数据工程师（2020届校园招聘）,福建新意科技有限公司,福州,5-9千/月,12-03
Java开发工程师（大数据方向）,上海大唐移动通信设备有限公司,福州,0.8-1.5万/月,12-03
大数据开发工程师,广东华讯工程有限公司,福州-闽侯县,0.8-1.6万/月,12-03
大数据开发工程师,湖南金烽信息科技有限公司,福州,0.8-2万/月,12-03
BI/大数据开发工程师,北京天助盈通技术有限公司,福州,0.8-1.5万/月,12-02
大数据产品部经理,福建省麦迪尔企业管理咨询有限公司...,异地招聘,1.5-2万/月,12-02
教育经理/讲师（大数据方向）,福建中锐网络股份有限公司,福州-闽侯县,0.8-1.2万/月,12-02
大数据开发工程师,北京电旗通讯技术股份有限公司,福州-台江区,0.8-1.5万/月,11-29
大数据产品经理,北京新大陆时代教育科技有限公司,福州,1.3-2万/月,11-29
大数据研发负责人,特力惠信息科技股份有限公司,福州-鼓楼区,20-30万/年,11-29
大数据开发工程师,福建博思软件股份有限公司,福州,0.8-1.5万/月,11-28
大数据研发工程师,福建博士通信息有限责任公司,福州-鼓楼区,0.7-1.2万/月,11-21
大数据工程师,福建省三福百货有限公司,福州,0.6-1.2万/月,11-19
Java开发工程师（大数据方向）,中国移动通信集团设计院有限公司浙...,福州-台江区,15-25万/年,11-16
产品开发工程师（大数据分析方向）-技术类（福州）,移动设计院福建分公司,福州,面议,11-11
客户代表（大数据产品）,上海明据信息科技有限公司,福州-鼓楼区,4-8千/月,11-08
区域销售（大数据教育方向）（福清市）,安徽七天教育科技有限公司,福州-福清市,0.8-1万/月,11-02
大数据研发工程师,中润智控物联网科技有限公司,福州-晋安区,0.7-1.4万/月,10-29
大数据仓库开发工程师,福州龙腾简合网络技术有限公司,福州,0.6-1.2万/月,10-14
销售工程师,旋极伏羲（福州）大数据技术有限公...,福州-仓山区,5-8千/月,12-04
产业咨询拓展总监/经理,火石创造（医健产业大数据）,异地招聘,30-45万/年,12-03
高级可视化研发工程师,福建省星云大数据应用服务有限公司...,福州-鼓楼区,0.8-1.2万/月,11-14
高级C#.NET开发工程师,北京法意科技有限公司福州分公司,福州,1.5-2万/月,12-04
BI数据分析师,饿了么,福州-台江区,1.5-3万/月,12-04
运营助理,福州大千网络科技有限公司,福州,4-6千/月,12-04
福州区域客户代表,福建省泰昌信息技术有限公司,福州,1-1.5万/月,12-04
售前（高级）,新大陆（福建）公共服务有限公司,福州-马尾区,1.2-2万/月,12-04
数据库工程师(ETL数据开发工程师),福建票付通信息科技有限公司,福州-鼓楼区,0.5-1万/月,12-04
数据开发工程师,福建卓融信息技术有限公司,福州,0.8-1.5万/月,12-04
招商专员,天津开元进出口有限公司,异地招聘,4.5-6千/月,12-04
教学助理,福州物联网开放实验室有限公司,福州-马尾区,4-6千/月,12-04
数据分析岗（福州）,中国平安人寿保险股份有限公司厦门...,异地招聘,1-1.5万/月,12-04
人资行政专员,福建隆恒实业集团,福州-长乐市,3-4.5千/月,12-04
工程技术方向（福州）,龙湖集团,福州,面议,12-04
医学科研顾问,无锡慧方科技有限公司,福州-鼓楼区,0.2-1万/月,12-04
高级数据分析师,福州云顶网络科技有限公司,福州-鼓楼区,1-2万/月,12-04
课题研究员,福建华闽通达信息技术有限公司,福州-仓山区,6-9千/月,12-04
项目经理,彩讯科技股份有限公司,福州,1-1.3万/月,12-04
售前技术顾问-软件解决方案（高级）,杭州半云科技有限公司,福州,1.5-2.5万/月,12-04
JAVA开发工程师,福州网乐网络科技有限公司,福州,1.5-2万/月,12-04
Python开发工程师,成都迪睿汇金科技有限公司,福州-鼓楼区,0.8-1.6万/月,12-04
分布式存储开发工程师,福建省冠林科技有限公司,福州,0.7-1.5万/月,12-04
智能识别算法工程师,福建睿思特科技股份有限公司,福州-鼓楼区,30-40万/年,12-04
课程研发主管-创客,北京希嘉万维科技有限公司,福州-仓山区,0.8-1.2万/月,12-04
软件研发部经理,福建中量智汇科技有限公司,福州-马尾区,1.6-2.5万/月,12-04
区域销售经理,成都市毅海贸易有限公司,异地招聘,1-1.5万/月,12-04
数据分析师,福诚（中国）有限公司,异地招聘,0.8-1.5万/月,12-04
福州销售经理,广东赢商网数据服务股份有限公司,福州,6-8千/月,12-04
全媒体优化师,福州云赢信息科技有限公司,福州-台江区,10-15万/年,12-04
技术副总监,盛辉物流集团有限公司,福州,2-3万/月,12-04
运维工程师,南京迈特望科技股份有限公司,福州,5-6.5千/月,12-04
深度学习工程师,思凯迈（福州）科技有限公司,福州-鼓楼区,1.5-2.5万/月,12-04
中级.NET工程师,福建纵腾网络有限公司,福州-仓山区,0.8-1.6万/月,12-04
数据分析员,广州市智蓝电子商务有限公司,福州,5-7千/月,12-04
生物统计师,上海森亿医疗科技有限公司,福州,1-1.5万/月,12-04
智慧园区销售经理,福建知鱼科技有限公司,福州,0.5-1万/月,12-04
算法研究员,福建联合动力机电科技有限公司,福州,1-2万/月,12-04
数据运营（电商方向）,德诚黄金集团有限公司,福州-长乐市,6-8千/月,12-04
java/php开发实习生,福州市传一教育管理有限公司,福州,3-4.5千/月,12-04
算法工程师,厦门点触科技股份有限公司,异地招聘,1.5-2.5万/月,12-04
Java中级开发工程师,网思科技股份有限公司,福州,7-9千/月,12-04
