"1","千万别让人觉得你内向自卑好欺负，这三个方法，让人对你刮目相看","<p><b>千万别让人觉得你内向自卑好欺负，这三个方法，让人对你刮目相看</b></p>","蜗牛木子","https://www.jianshu.com/p/547901d6ab9f","547901d6ab9f","2551","1012","职场日更,职场,上班这点事儿,思维导图"
"2","有没有人和我一样喜欢吃午餐肉？","<p>很奇怪，我竟然喜欢吃午餐肉，来说说怎么做吧。</p>","好吃的姜酱","https://www.jianshu.com/p/1720c14a2c9d","1720c14a2c9d","1748","265","美食,爱生活,瘦一点身食谱。,只要主义真ﾉ☀"
"3","SpUtil多样加密存储，兼容android9.0","<p>在android系统不断升级的过程中，Sharepreferences存储出现多中问题，其中有些是读写权限造成，有些是因为加密问题引起。下面介绍下SpUtil这个工具类，它是在Sharepreferences基础上进行了封装优化，具备存储不同数据类型，然后有加密功能，使用简单，在介绍的工程中，还会涉及到一些权限方面的讲解。<br>
存储数据类型包括：<br>
boolean、int、float、long、String,List，object，其中 存储 String 具备加密功能，在存储 object的时候，object 需要是可序列化的对象</p>","奔跑的佩恩","https://www.jianshu.com/p/bbf057ccbcff","bbf057ccbcff","794","1085","Android...,Android专题,Android"
"4","关于会员使用简书贝购买收益加成卡说明","<p>尊敬的简书会员用户：</p>","简书钻首席小管家","https://www.jianshu.com/p/661ed3a5e672?utm_medium=index-banner&utm_source=desktop","661ed3a5e672","31034","469","悦目娱心 ,茶罐诗人投稿箱,简村,交易,北京公会,文无定法，写的好即行,简书 。中国美文精典"
"5","合作伙伴","<p>微信公众号合作伙伴（排名不分先后）</p>","简书","https://www.jianshu.com/p/cabc8fa39830","cabc8fa39830","92673","15","针灸埋线,疼痛医学培训中心,简书探索与发展,开启美好生活"
"6","行距文化（前简书版权）出版要求及方式","<p><b>现实题材长篇小说、</b><b>通识教育、</b><b>优秀个人成长</b></p>","行距版君","https://www.jianshu.com/p/fc1c113e5b6b","fc1c113e5b6b","203700","1189","城市夜无眠,技能学习,马厩,写作技能指南,写作,简书指南,简书签约作者之..."
"7","自媒体怎么赚钱，自媒体能赚钱吗,","<p>这个问题毋庸置疑，玩自媒体肯定是能够赚到钱的，而却玩的好还可以轻松月入万元。今年是自媒体火爆的一年。淘宝刚开始的时候错过了 后来微商时代到来的时候也错过的话  那么这次的机会你是还想在错过吗，失掉这一次赚钱的一次机会。</p>","光辉岁月99","https://www.jianshu.com/p/cd397a71ac53","cd397a71ac53","2890","2038",
"8","装上这几个 VSCode 插件后，上班划水摸鱼不是梦","<p><strong>小编推荐：<a href=""https://links.jianshu.com/go?to=https%3A%2F%2Fwww.fundebug.com%2F%3Futm_source%3Drecommend_head"" target=""_blank"">Fundebug</a>提供JS、微信小程序、微信小游戏，Node.js和Java错误监控。真的是一个很好用的错误监控服务，众多大佬公司都在使用。</strong></p>","Fundebug","https://www.jianshu.com/p/ebc928e7e1ec","ebc928e7e1ec","21769","692","程序员,VS Code,收藏,Fultter,vscode

,资源网站,前端攻城狮"
"9","没有生活常识？袁姗姗陈伟霆不会手机支付，邓伦不懂共享充电宝","<p>在《我家那闺女》中，缺乏常识的袁姗姗闹出了好多笑话，洗毯子直接拿水冲，老抽生抽分不清等等，在这期节目中，袁姗姗还透露了自己不懂手机支付，她说自己在市场买菜的时候，带了现金出门，结果一分钱没花，学会了用扫二维码支付，自己觉得非常的惊喜。一起录节目的大左听完表示已经两年不用现金了，对袁姗姗不会手机支付，表示很震惊。</p>","饭爱豆","https://www.jianshu.com/p/e488f3497833","e488f3497833","3545","948",
"10","为什么他们裸辞后，都后悔了？","<p>一位读者给我留言，她在一家公司做行政，公司刚刚初创属于野蛮生长时期，她每天除了办公室的一堆杂事，还要伺候好其他部门，上班各种撕，下班各种累，拿钱又少，又感觉不到成长。</p>","易流黄滨老师","https://www.jianshu.com/p/6ad21bbfa186","6ad21bbfa186","2066","2489",
"11","周培公为平定三藩立下奇功，康熙为何雪藏他？保护还是防范？","<p>清军在入关后，统治者为了更好的治理天下，选拔了一些汉族大臣。这些大臣虽然受到了清朝统治者的重用，但实际地位依然比较低下。而在康熙朝时期，有一位大臣被康熙引为心腹，并为康熙平定三藩立下大功，结果最后却被康熙发往盛京雪藏起来。这是为何?难道真的是狡兔死，走狗烹?咱们接着往下看。</p>","星球观史","https://www.jianshu.com/p/562948db7927","562948db7927","6379","1074","彩票腾讯分分彩...,老魏解析百家乐...,古事闻"
"12","为啥刽子手听到“刀下留人”就停手？","<p>在古装影视剧中经常会出现“刀下留人”的桥段，以这种方式来调动观众的情绪。很多人可能觉得“刀下留人”是剧情需要，实际上在古代是真的有这种情况存在的。</p>","好奇研究室","https://www.jianshu.com/p/3aa8d6d04bc9","3aa8d6d04bc9","13870","1400",
"13","吴秀波息影一年首露面！头发斑白靠录视频赚钱？","<p>正能量追星，陪你饭爱豆！</p>","饭爱豆","https://www.jianshu.com/p/949226c11644","949226c11644","17","606",
"14","《向往的生活》最热情嘉宾让黄磊“崩溃”：我劝你做个冷淡的人","<p>今天是精读君陪伴你终身成长的第2119天</p>","精读君","https://www.jianshu.com/p/b13a0e999a38","b13a0e999a38","12146","2949","红红火火恍恍惚惚,百赞文集,everyth...,收录,情感生活"
"15","中国式标配，正在掏空成年人","<p>01</p>","精读君","https://www.jianshu.com/p/5a489bad3df2","5a489bad3df2","41491","1487","职场课,人生导航仪,思维拓展,双面镜子,红茶美文集,社会,反省.思考.鸡..."
"16","出道14年多次试图退圈！饱受身心双压的她到底怎么了？","<p><br></p>","饭爱豆","https://www.jianshu.com/p/013422b10b13","013422b10b13","1","987",
"17","肖战王一博朱一龙追星的样子太真实，仿佛看到了失去大脑的自己","<p>浙江卫视秋季盛典刚举办完，没人讨论舞美和豪华的演出阵容，热搜上挂着的却是#肖战成功追星孙燕姿#的热搜，一夜间仿佛所有人都在恭喜这位迷弟追星成功。而我们的爱豆也不负众望，一向口齿伶俐的肖战哥哥此刻变成了一个只会“啊啊啊啊啊啊！”的小赞。</p>","饭爱豆","https://www.jianshu.com/p/8e89babde332","8e89babde332","52","814",
"18","上弦似的一天161","<p>2018年6月23日！早上还是早早把晨文叫起来！因为我要上班，她10点要上英语课，担她自己在家睡过头，也是因为想让她赶紧写写作业！</p>","成长的爱","https://www.jianshu.com/p/ed683d339b5d","ed683d339b5d","36","236",
"19","情绪下的无序","<p>昨晚的二胎妈妈的无奈，持续的紧张生活，让我自己变的有些烦躁，心一直是静不下来的。静以修身，确实是这样，只有静下心来的时候才能更好的修炼好自己。</p>","俩公主妈","https://www.jianshu.com/p/3af1a1cbddbd","3af1a1cbddbd","16","437",
"20","陈伟霆：知世故而不世故，才是最成熟的善良","<p>1</p>","少女陆sunny","https://www.jianshu.com/p/4bed22c9aad1","4bed22c9aad1","2669","2694","娱乐圈,今日看点,睡前故事,每天写1000字,人物,社会热点"
"21","小说阅读《你的爱比利刃更伤人》陆霆川妙雪芷","<p>直到他带回小三，她这才知道，爱情啊，有多伤人……</p>","帅气阿狐","https://www.jianshu.com/p/283d8229ee7a","283d8229ee7a","216","15034",
"22","使用Vue全家桶+Node.js搭建的小型全栈项目","<p>接触vue框架也有一个多月的时间了，整理下之前做过的一个小demo，主要是熟悉vue全家桶技术，界面布局模仿的是猫眼，数据使用的是豆瓣开发者提供的后台接口。整个过程从搭建脚手架到最后项目打包上线，是一个完整的开发流程，中间涉及到的知识点比较多，也比较零碎，通过这个项目对我自己的知识体系做一个梳理和总结。</p>","视觉派Pie","https://www.jianshu.com/p/953fc5086e34","953fc5086e34","11987","10369","II 极客公园 II,Web前端之路,让前端飞,vue,前端框架,Vue专题,IT必备技能"
"23","都8102年了还不会用手机支付？没想到你是这样的陈伟霆！","<p>由马思纯、陈伟霆主演的电视剧《橙红年代》正在热播当中，剧中陈伟霆扮演的刘子光，因为意外，丧失了八年的记忆，他和李建义饰演的郭大爷一起去买东西，郭大爷就用手机付了钱，这时候失忆的刘子光真的大涨见识啊，竟然还有这种高科技！</p>","饭爱豆","https://www.jianshu.com/p/cb1afd934342","cb1afd934342","31","656",
"24","凌晨4点被暴打的11岁男孩，唤醒我的童年阴影","<p>NBA巨星科比，曾经说过一句话：</p>","槽值","https://www.jianshu.com/p/89d8cee8813a","89d8cee8813a","6646","3838","育儿"
"25","随笔诗","<p>时间<br>
你是否懂<br>
季节的悲伤<br>
可知<br>
日夜交替的烦恼<br>
案上的日历， 已被写满<br>
未来难测</p>","七月文斋","https://www.jianshu.com/p/2380d6a93ac2","2380d6a93ac2","5344","142","粤港澳青年作家...,中国当代实力诗人,中国当代诗人,诗绸之路,给流浪的文字安个家,能感动自己的好...,爱生活爱自己"
"26","相由心生，说得太对了","<p>当你耐下心来，静看生命里的花开花落，体悟贫乏日常背后的每一处惊喜，心情就不会时不时被揪着，脸上的笑容也不会像个提线木偶，僵硬又无聊。</p>","巴克阿伯","https://www.jianshu.com/p/07f3d606d367","07f3d606d367","8809","1492",
"27","深入理解计算机系统cp1：存储单位与编码","<p><strong>摘要：</strong> 理解计算机是如何存储数据的。</p>","Fundebug","https://www.jianshu.com/p/4344091ef0c7","4344091ef0c7","265","1718",
"28","Android WMS（一）-窗口管理","<p>原创内容，转载请注明出处，多谢配合。</p>","Stan_Z","https://www.jianshu.com/p/3b5b6f2469d8","3b5b6f2469d8","2911","1283","Android技术,Android...,Android,安卓,收录的大神文章,Android"
"29","JavaScript 是如何运行的？","<p><strong>摘要：</strong> 理解JS执行原理。</p>","Fundebug","https://www.jianshu.com/p/9be1e63da606","9be1e63da606","578","2876","让前端飞,Web前端之路,Javascript,前端开发那些事,程序猿葵花宝典,待学习"
